Title,Original Price,Discounted Price,Release Date,Discount Amount
Slackers - Carts of Glory,"12,99€","9,74€","18 Sep, 2024",-25%
Far Cry® 5,"59,99€","8,99€","26 Mar, 2018",-85%
Crusader Kings III: Roads to Power,"54,97€","43,97€","24 Sep, 2024",-20%
Yakuza 0,"19,99€","10,99€","1 Aug, 2018",-45%
Total War: WARHAMMER III - Elspeth – Thrones of Decay,"8,99€","7,19€","30 Apr, 2024",-20%
Control Ultimate Edition,"39,99€","7,99€","27 Aug, 2020",-80%
Sonic Frontiers,"59,99€","20,99€","7 Nov, 2022",-65%
Sledders,"24,99€","18,74€","5 Dec, 2023",-25%
We Were Here Together,"12,99€","4,93€","10 Oct, 2019",-62%
Inscryption,"19,99€","7,99€","19 Oct, 2021",-60%
Assetto Corsa Competizione,"39,99€","11,99€","29 May, 2019",-70%
Euro Truck Simulator 2 - Beyond the Baltic Sea,"17,99€","7,19€","29 Nov, 2018",-60%
Stolen Realm,"19,50€","9,75€","8 Mar, 2024",-50%
Fable Anniversary,"31,99€","7,99€","12 Sep, 2014",-75%
Battlefield™ V,"49,99€","7,49€","22 Oct, 2020",-85%
Resident Evil 3,"39,99€","9,99€","24 Jan, 2019",-75%
Persona 4 Golden,"19,99€","11,99€","13 Jun, 2020",-40%
